Epoch	Train	Verify
0000	0.52201	0.5343
0001	0.46527	0.46324
0002	0.43296	0.42083
0003	0.38529	0.37686
0004	0.35542	0.36062
0005	0.33291	0.3803
0006	0.31953	0.37926
0007	0.3311	0.35854
0008	0.33029	0.342
0009	0.32521	0.33798
0010	0.32161	0.33958
0011	0.31698	0.34583
0012	0.31676	0.33946
0013	0.31448	0.33207
0014	0.31227	0.32693
0015	0.31194	0.3218
0016	0.30137	0.33776
0017	0.29712	0.36166
0018	0.30886	0.31724
0019	0.29956	0.3193
0020	0.29908	0.31216
0021	0.29743	0.30678
0022	0.28812	0.31902
0023	0.28892	0.31486
0024	0.28971	0.29444
0025	0.28283	0.28705
0026	0.27612	0.28894
0027	0.2715	0.31277
0028	0.2671	0.27358
0029	0.2628	0.26993
0030	0.26002	0.26207
0031	0.25411	0.25746
0032	0.24497	0.2469
0033	0.23339	0.26417
0034	0.2279	0.22087
0035	0.21542	0.27097
0036	0.21834	0.213
0037	0.22291	0.20249
0038	0.20156	0.1961
0039	0.20063	0.19202
0040	0.19712	0.23999
0041	0.18518	0.22254
0042	0.18929	0.23688
0043	0.19231	0.19305
0044	0.1858	0.16933
0045	0.16043	0.21869
0046	0.18559	0.17603
0047	0.17517	0.16606
0048	0.17788	0.16659
0049	0.16211	0.15566
0050	0.16241	0.15394
0051	0.15346	0.19722
0052	0.16345	0.15405
0053	0.15198	0.18156
0054	0.1671	0.15742
0055	0.15624	0.14845
0056	0.15162	0.14929
0057	0.16102	0.1478
0058	0.15884	0.14262
0059	0.14579	0.16359
0060	0.15369	0.15089
0061	0.1504	0.13916
0062	0.15382	0.13745
0063	0.15964	0.13811
0064	0.14237	0.15607
0065	0.13997	0.14976
0066	0.13553	0.14772
0067	0.14442	0.14063
0068	0.11377	0.14287
0069	0.13604	0.18207
0070	0.13714	0.13543
0071	0.13519	0.13351
0072	0.1488	0.12956
0073	0.14151	0.13263
0074	0.14584	0.13768
0075	0.11517	0.14209
0076	0.12101	0.12822
0077	0.13003	0.15135
0078	0.14976	0.12884
