Epoch	Train	Verify
0000	0.55251	0.52067
0001	0.49053	0.46339
0002	0.46556	0.45893
0003	0.43692	0.42931
0004	0.39441	0.38672
0005	0.36314	0.36662
0006	0.34446	0.35657
0007	0.33469	0.35017
0008	0.32846	0.34464
0009	0.32317	0.33949
0010	0.31909	0.34403
0011	0.31874	0.33209
0012	0.3082	0.34356
0013	0.31449	0.32124
0014	0.30406	0.3182
0015	0.30132	0.31361
0016	0.29785	0.31658
0017	0.29102	0.29564
0018	0.27697	0.30858
0019	0.27668	0.31032
0020	0.27041	0.29155
0021	0.26802	0.27176
0022	0.25613	0.25795
0023	0.24951	0.26648
0024	0.23233	0.24555
0025	0.23827	0.22317
0026	0.22203	0.24132
0027	0.22192	0.21272
0028	0.21066	0.20011
0029	0.20724	0.20198
0030	0.19213	0.2314
0031	0.20061	0.18355
0032	0.19273	0.20321
0033	0.18971	0.17224
0034	0.17683	0.16973
0035	0.172	0.18693
0036	0.17431	0.16891
0037	0.15466	0.18172
0038	0.16965	0.21447
0039	0.17034	0.16664
0040	0.14866	0.18812
0041	0.14747	0.19488
0042	0.15997	0.1466
0043	0.15193	0.15404
0044	0.15279	0.17224
0045	0.14221	0.14195
0046	0.14038	0.14642
0047	0.13576	0.14681
0048	0.1523	0.15647
0049	0.15017	0.14547
0050	0.13091	0.16896
0051	0.14634	0.13754
0052	0.14629	0.18271
0053	0.14069	0.14725
0054	0.14508	0.13186
0055	0.14901	0.13148
0056	0.15048	0.13132
0057	0.13461	0.12984
0058	0.12006	0.1404
0059	0.14429	0.15018
0060	0.13908	0.14052
0061	0.12168	0.14534
0062	0.12454	0.13578
0063	0.11493	0.13606
0064	0.13944	0.13318
0065	0.13695	0.1252
0066	0.13153	0.12768
0067	0.12185	0.12548
0068	0.11619	0.12526
0069	0.12526	0.14272
0070	0.1157	0.15708
0071	0.12255	0.17861
0072	0.13022	0.13831
0073	0.13243	0.14544
