Epoch	Train	Verify
0000	0.47799	0.49176
0001	0.47799	0.60941
0002	0.57822	0.58894
0003	0.55938	0.49231
0004	0.47531	0.70113
0005	0.72354	0.4678
0006	0.46477	0.48704
0007	0.47147	0.4641
0008	0.45662	0.45717
0009	0.45428	0.45599
0010	0.4522	0.45303
0011	0.44908	0.45037
0012	0.44624	0.44492
0013	0.44335	0.43576
0014	0.43903	0.42869
0015	0.43469	0.41695
0016	0.42822	0.40344
0017	0.4269	0.43191
0018	0.43614	0.40804
0019	0.42362	0.4046
0020	0.42308	0.40461
0021	0.42275	0.40414
0022	0.42215	0.40257
0023	0.4211	0.40044
0024	0.41929	0.39791
0025	0.41627	0.39151
0026	0.41446	0.41201
0027	0.41464	0.3982
0028	0.41009	0.39587
0029	0.40933	0.39465
0030	0.40848	0.39521
0031	0.40751	0.39455
0032	0.40679	0.40242
0033	0.40703	0.39451
0034	0.4058	0.39566
0035	0.40556	0.39636
