Epoch	Train	Verify
0000	0.47304	0.48761
0001	0.47304	0.4848
0002	0.4724	0.4397
0003	0.44571	0.43496
0004	0.43616	0.40872
0005	0.42503	0.39447
0006	0.41452	0.39059
0007	0.41365	0.39081
0008	0.40925	0.38939
0009	0.40574	0.39669
0010	0.40019	0.39716
0011	0.39958	0.39968
0012	0.39932	0.40057
0013	0.39888	0.40302
0014	0.39874	0.40374
0015	0.39865	0.40605
0016	0.39857	0.40721
0017	0.3985	0.41032
0018	0.39839	0.41107
