Epoch	Train
0000	0.60165
0050	0.24908
0100	0.14762
0150	0.11875
0200	0.11197
0250	0.10643
0300	0.10026
0350	0.097755
0400	0.098905
0450	0.097515
0500	0.096675
0550	0.092102
0600	0.090615
0650	0.088039
0700	0.091285
0750	0.091435
0800	0.091423
0850	0.087488
0900	0.083397
0950	0.088753
1000	0.082141
1050	0.09565
1100	0.081104
1150	0.08708
1200	0.089464
1250	0.091524
1300	0.08854
1350	0.07692
1400	0.086452
1450	0.083436
1500	0.085191
1550	0.081945
1600	0.082334
1650	0.077226
1700	0.066123
1750	0.089173
1800	0.074727
1850	0.071502
1900	0.082941
1950	0.068829
2000	0.081012
2050	0.078209
2100	0.087024
2150	0.086723
2200	0.06909
2250	0.082217
2300	0.079948
2350	0.072834
2400	0.069077
2450	0.074921
2500	0.085203
2550	0.067463
2600	0.071646
2650	0.08012
2700	0.079908
2750	0.078581
2800	0.082817
2850	0.082926
2900	0.070529
2950	0.079231
3000	0.074648
3050	0.082838
3100	0.080597
3150	0.079138
3200	0.069119
3250	0.065219
3300	0.07946
3350	0.055634
3400	0.06945
3450	0.073734
3500	0.069096
3550	0.077791
3600	0.068323
3650	0.066005
3700	0.069839
3750	0.066636
3800	0.068777
3850	0.060071
3900	0.066064
3950	0.050058
4000	0.051157
4050	0.063137
4100	0.063666
4150	0.061427
4200	0.057776
4250	0.056128
4300	0.058439
4350	0.055857
4400	0.04913
4450	0.06335
4500	0.044356
4550	0.052317
4600	0.057777
4650	0.042637
4700	0.055173
4750	0.052446
4800	0.054359
4850	0.039243
4900	0.041176
4950	0.041333
5000	0.054448
5050	0.044129
5100	0.041204
5150	0.045337
5200	0.040652
5250	0.042984
5300	0.038596
5350	0.040776
5400	0.037706
5450	0.040302
5500	0.03086
5550	0.039573
5600	0.033346
5650	0.037874
5700	0.03489
5750	0.035981
5800	0.034833
5850	0.03334
5900	0.032867
5950	0.029331
6000	0.02774
6050	0.030741
6100	0.030309
6150	0.03029
6200	0.029338
6250	0.030165
6300	0.027654
6350	0.026999
6400	0.02776
6450	0.026747
6500	0.026139
6550	0.025936
6600	0.026464
6650	0.025862
6700	0.024727
6750	0.025153
6800	0.024324
6850	0.0243
6900	0.022331
6950	0.023947
7000	0.023539
7050	0.021347
7100	0.023663
7150	0.021695
7200	0.022955
7250	0.022159
7300	0.02235
7350	0.022064
7400	0.021643
7450	0.021688
7500	0.020189
7550	0.020808
7600	0.021273
7650	0.020488
7700	0.020562
7750	0.02041
7800	0.01987
7850	0.020004
7900	0.019296
7950	0.018867
8000	0.019251
8050	0.018614
8100	0.018752
8150	0.018836
8200	0.017976
8250	0.018694
8300	0.018585
8350	0.018329
8400	0.018141
8450	0.018138
8500	0.017107
8550	0.017705
8600	0.016906
8650	0.017431
8700	0.017342
8750	0.017282
8800	0.016571
8850	0.016644
8900	0.016696
8950	0.016757
9000	0.016758
9050	0.016326
9100	0.01639
9150	0.016174
9200	0.016123
9250	0.015537
9300	0.015678
9350	0.01577
9400	0.015616
9450	0.01566
9500	0.015177
9550	0.015486
9600	0.015163
9650	0.015094
9700	0.015181
9750	0.015089
9800	0.014776
9850	0.01467
9900	0.014923
9950	0.014816
10000	0.01445
10050	0.014473
10100	0.014507
10150	0.014439
10200	0.014302
10250	0.014318
10300	0.014206
10350	0.014174
10400	0.014004
10450	0.014047
10500	0.013996
10550	0.013816
10600	0.013825
10650	0.01366
10700	0.013487
10750	0.013531
10800	0.013556
10850	0.013324
10900	0.013334
10950	0.013386
11000	0.013256
11050	0.013144
11100	0.01303
11150	0.013071
11200	0.012994
11250	0.012857
11300	0.012915
11350	0.012848
11400	0.012809
11450	0.012726
11500	0.012549
11550	0.012598
11600	0.012463
11650	0.012424
11700	0.012457
11750	0.012262
11800	0.01233
11850	0.012295
11900	0.012207
11950	0.012211
12000	0.012137
12050	0.012084
12100	0.012044
12150	0.011967
12200	0.011966
12250	0.011925
12300	0.011821
12350	0.011682
12400	0.011748
12450	0.011674
12500	0.01158
12550	0.011633
12600	0.01161
12650	0.011489
12700	0.011483
12750	0.011462
12800	0.011474
12850	0.011348
12900	0.011355
12950	0.011307
13000	0.011263
13050	0.011199
13100	0.011187
13150	0.011169
13200	0.011096
13250	0.011071
13300	0.01096
13350	0.010995
13400	0.010932
13450	0.010924
13500	0.010879
13550	0.010817
13600	0.010778
13650	0.010747
13700	0.010652
13750	0.010708
13800	0.010691
13850	0.0106
13900	0.010546
13950	0.010516
14000	0.010532
14050	0.010466
14100	0.010458
14150	0.010381
14200	0.010381
14250	0.010329
14300	0.010336
14350	0.010239
14400	0.010287
14450	0.010214
14500	0.010204
14550	0.010188
14600	0.010076
14650	0.010078
14700	0.010068
14750	0.010044
14800	0.0099929
14850	0.010003
14900	0.0099677
14950	0.009918
15000	0.009907
