Epoch	Train
0000	0.53123
0050	0.2226
0100	0.14329
0150	0.12386
0200	0.11193
0250	0.10365
0300	0.10404
0350	0.10051
0400	0.096812
0450	0.096363
0500	0.095227
0550	0.08677
0600	0.092353
0650	0.089447
0700	0.086127
0750	0.097085
0800	0.086851
0850	0.090121
0900	0.088137
0950	0.084082
1000	0.084375
1050	0.083956
1100	0.079346
1150	0.091433
1200	0.087715
1250	0.071453
1300	0.087559
1350	0.086082
1400	0.088337
1450	0.085587
1500	0.084551
1550	0.081325
1600	0.092301
1650	0.084796
1700	0.085926
1750	0.079402
1800	0.0836
1850	0.076484
1900	0.08035
1950	0.076658
2000	0.080243
2050	0.086429
2100	0.090249
2150	0.062461
2200	0.077854
2250	0.07882
2300	0.061799
2350	0.085125
2400	0.079318
2450	0.087047
2500	0.070252
2550	0.072676
2600	0.077722
2650	0.083353
2700	0.070973
2750	0.082968
2800	0.073981
2850	0.082145
2900	0.072959
2950	0.077167
3000	0.071272
3050	0.076508
3100	0.082177
3150	0.071831
3200	0.071734
3250	0.074552
3300	0.073535
3350	0.067757
3400	0.066415
3450	0.070485
3500	0.07197
3550	0.070516
3600	0.078168
3650	0.069501
3700	0.053888
3750	0.075717
3800	0.077628
3850	0.071551
3900	0.079996
3950	0.066117
4000	0.065034
4050	0.076459
4100	0.079597
4150	0.063673
4200	0.08082
4250	0.056503
4300	0.073131
4350	0.057617
4400	0.06824
4450	0.073944
4500	0.071584
4550	0.069839
4600	0.071589
4650	0.071217
4700	0.071433
4750	0.063788
4800	0.062796
4850	0.065916
4900	0.069511
4950	0.07169
5000	0.057935
5050	0.071709
5100	0.074643
5150	0.070512
5200	0.068341
5250	0.060937
5300	0.07369
5350	0.072279
5400	0.073787
5450	0.057858
5500	0.071891
5550	0.060863
5600	0.066713
5650	0.045745
5700	0.066562
5750	0.072809
5800	0.063521
5850	0.05859
5900	0.057346
5950	0.080983
6000	0.06766
6050	0.05203
6100	0.057268
6150	0.057175
6200	0.054027
6250	0.038956
6300	0.066782
6350	0.065407
6400	0.051573
6450	0.060354
6500	0.059406
6550	0.05328
6600	0.045464
6650	0.066695
6700	0.056234
6750	0.051107
6800	0.057083
6850	0.06603
6900	0.056288
6950	0.060319
7000	0.058522
7050	0.064796
7100	0.036774
7150	0.07019
7200	0.069528
7250	0.045436
7300	0.067998
7350	0.065506
7400	0.064681
7450	0.063604
7500	0.062185
7550	0.056046
7600	0.048979
7650	0.060465
7700	0.066044
7750	0.059703
7800	0.061547
7850	0.06953
7900	0.056382
7950	0.053749
8000	0.052758
8050	0.065841
8100	0.065784
8150	0.053732
8200	0.04959
8250	0.040762
8300	0.05402
8350	0.049495
8400	0.057483
8450	0.051127
8500	0.051159
8550	0.05251
8600	0.06447
8650	0.048848
8700	0.050826
8750	0.055201
8800	0.061835
8850	0.055631
8900	0.041371
8950	0.056585
9000	0.056523
9050	0.038135
9100	0.052738
9150	0.059235
9200	0.053582
9250	0.069929
9300	0.04783
9350	0.037731
9400	0.047071
9450	0.059165
9500	0.046759
9550	0.048112
9600	0.054124
9650	0.048248
9700	0.051137
9750	0.063065
9800	0.039281
9850	0.052494
9900	0.047387
9950	0.050784
10000	0.034894
10050	0.032917
10100	0.041115
10150	0.037735
10200	0.041456
10250	0.039713
10300	0.034972
10350	0.04998
10400	0.034838
10450	0.033807
10500	0.047213
10550	0.041053
10600	0.037093
10650	0.042216
10700	0.039159
10750	0.038172
10800	0.034728
10850	0.042845
10900	0.033701
10950	0.035381
11000	0.032731
11050	0.02505
11100	0.029166
11150	0.043148
11200	0.042794
11250	0.031339
11300	0.045134
11350	0.037544
11400	0.028882
11450	0.033887
11500	0.028412
11550	0.034075
11600	0.030246
11650	0.027987
11700	0.029994
11750	0.026028
11800	0.035907
11850	0.032685
11900	0.026962
11950	0.029692
12000	0.036349
12050	0.02896
12100	0.029581
12150	0.035365
12200	0.032982
12250	0.027394
12300	0.027208
12350	0.025664
12400	0.031434
12450	0.02285
12500	0.030235
12550	0.027235
12600	0.029299
12650	0.026109
12700	0.024219
12750	0.021959
12800	0.024559
12850	0.025598
12900	0.024297
12950	0.023405
13000	0.025032
13050	0.025996
13100	0.027155
13150	0.022691
13200	0.024217
13250	0.021576
13300	0.020337
13350	0.026691
13400	0.024272
13450	0.021302
13500	0.023658
13550	0.024034
13600	0.024399
13650	0.026074
13700	0.023964
13750	0.024372
13800	0.024122
13850	0.019149
13900	0.02429
13950	0.02191
14000	0.0254
14050	0.021247
14100	0.022914
14150	0.023339
14200	0.022289
14250	0.023682
14300	0.020049
14350	0.023633
14400	0.022873
14450	0.021403
14500	0.022731
14550	0.019913
14600	0.023697
14650	0.021451
14700	0.023544
14750	0.021149
14800	0.019278
14850	0.020052
14900	0.020953
14950	0.02076
15000	0.020402
