Epoch	Train
0000	0.4921
0050	0.26088
0100	0.16706
0150	0.12828
0200	0.1199
0250	0.11239
0300	0.10386
0350	0.10104
0400	0.095353
0450	0.099068
0500	0.098241
0550	0.094832
0600	0.091059
0650	0.088845
0700	0.089267
0750	0.09157
0800	0.087606
0850	0.086576
0900	0.081174
0950	0.083063
1000	0.090229
1050	0.074778
1100	0.086772
1150	0.089449
1200	0.076399
1250	0.089779
1300	0.087273
1350	0.080358
1400	0.087173
1450	0.085983
1500	0.075142
1550	0.085906
1600	0.089834
1650	0.087234
1700	0.083447
1750	0.087932
1800	0.080179
1850	0.084188
1900	0.080043
1950	0.078687
2000	0.078906
2050	0.08136
2100	0.074665
2150	0.073812
2200	0.080679
2250	0.084384
2300	0.087666
2350	0.083112
2400	0.076415
2450	0.07551
2500	0.072727
2550	0.080876
2600	0.071195
2650	0.055134
2700	0.05699
2750	0.071849
2800	0.074917
2850	0.072446
2900	0.060233
2950	0.073268
3000	0.072698
3050	0.078429
3100	0.069194
3150	0.066948
3200	0.078788
3250	0.077306
3300	0.070111
3350	0.053342
3400	0.057994
3450	0.05116
3500	0.070697
3550	0.072999
3600	0.069511
3650	0.061943
3700	0.055155
3750	0.074833
3800	0.068408
3850	0.069046
3900	0.053127
3950	0.068418
4000	0.071964
4050	0.068479
4100	0.062073
4150	0.06174
4200	0.063295
4250	0.062835
4300	0.061422
4350	0.063467
4400	0.051245
4450	0.048291
4500	0.056177
4550	0.062621
4600	0.048786
4650	0.044659
4700	0.049125
4750	0.045811
4800	0.036153
4850	0.045786
4900	0.040269
4950	0.041835
5000	0.039703
5050	0.041811
5100	0.038933
5150	0.041497
5200	0.044395
5250	0.038374
5300	0.031956
5350	0.034439
5400	0.035394
5450	0.032669
5500	0.037944
5550	0.034124
5600	0.036025
5650	0.029525
5700	0.033789
5750	0.027672
5800	0.034319
5850	0.032067
5900	0.028585
5950	0.030903
6000	0.02964
6050	0.02923
6100	0.028919
6150	0.0278
6200	0.029142
6250	0.027165
6300	0.026271
6350	0.026366
6400	0.025429
6450	0.026625
6500	0.023838
6550	0.025497
6600	0.025572
6650	0.024911
6700	0.023428
6750	0.024002
6800	0.023368
6850	0.023286
6900	0.023417
6950	0.022641
7000	0.022858
7050	0.02094
7100	0.021059
7150	0.02143
7200	0.021427
7250	0.020183
7300	0.020567
7350	0.020842
7400	0.019209
7450	0.020028
7500	0.020257
7550	0.019809
7600	0.019087
7650	0.018619
7700	0.018749
7750	0.018875
7800	0.019001
7850	0.018551
7900	0.018421
7950	0.018067
8000	0.018427
8050	0.018037
8100	0.01782
8150	0.017765
8200	0.01761
8250	0.017234
8300	0.017555
8350	0.017254
8400	0.017087
8450	0.016701
8500	0.016895
8550	0.016747
8600	0.016402
8650	0.01642
8700	0.016379
8750	0.015941
8800	0.015613
8850	0.016024
8900	0.015908
8950	0.015633
9000	0.015659
9050	0.015565
9100	0.015468
9150	0.015366
9200	0.014998
9250	0.01495
9300	0.014963
9350	0.01492
9400	0.014912
9450	0.014581
9500	0.014648
9550	0.014647
9600	0.014428
9650	0.014228
9700	0.01433
9750	0.01413
9800	0.014129
9850	0.013849
9900	0.013792
9950	0.01389
10000	0.01384
10050	0.013673
10100	0.013694
10150	0.01353
10200	0.013347
10250	0.013274
10300	0.013431
10350	0.013291
10400	0.01317
10450	0.01301
10500	0.0131
10550	0.01302
10600	0.012971
10650	0.012907
10700	0.0128
10750	0.012718
10800	0.01264
10850	0.012607
10900	0.012626
10950	0.01251
11000	0.012439
11050	0.012325
11100	0.012337
11150	0.01231
11200	0.012216
11250	0.012203
11300	0.0121
11350	0.011931
11400	0.012037
11450	0.011959
11500	0.011897
11550	0.011806
11600	0.011774
11650	0.011795
11700	0.01169
11750	0.01161
11800	0.011613
11850	0.011557
11900	0.011476
11950	0.011317
12000	0.011418
12050	0.011307
12100	0.011331
12150	0.011245
12200	0.011167
12250	0.011143
12300	0.011031
12350	0.011017
12400	0.011064
12450	0.010999
12500	0.010987
12550	0.010904
12600	0.010882
12650	0.010765
12700	0.010797
12750	0.010716
12800	0.01068
12850	0.010666
12900	0.010541
12950	0.010598
13000	0.010533
13050	0.010514
13100	0.010451
13150	0.010442
13200	0.010399
13250	0.010365
13300	0.010279
13350	0.010299
13400	0.010239
13450	0.010244
13500	0.010167
13550	0.01013
13600	0.010108
13650	0.010086
13700	0.009966
13750	0.010019
13800	0.009995
13850	0.0099571
13900	0.0099174
13950	0.0098682
14000	0.0098272
14050	0.0097883
14100	0.0097986
14150	0.0097386
14200	0.0097311
14250	0.0096845
14300	0.0096365
14350	0.0096196
14400	0.0096112
14450	0.0095342
14500	0.0095409
14550	0.0095293
14600	0.0094627
14650	0.0094304
14700	0.0093835
14750	0.0094022
14800	0.0093181
14850	0.0093295
14900	0.0093086
14950	0.009257
15000	0.0092724
