epochs	4-2-3	4-3-3	4-4-3	4-5-3	4-6-3	4-7-3	4-8-3	4-9-3	4-10-3
14200	0.021358	0.02057	0.010407	0.022289	0.011765	0.01054	0.010381	0.010833	0.0097311
14250	0.020705	0.016751	0.01039	0.023682	0.011857	0.010546	0.010329	0.01077	0.0096845
14300	0.022726	0.021424	0.010356	0.020049	0.011775	0.010504	0.010336	0.010753	0.0096365
14350	0.019277	0.019843	0.010311	0.023633	0.01173	0.01041	0.010239	0.010691	0.0096196
14400	0.020035	0.020382	0.010302	0.022873	0.011671	0.010456	0.010287	0.010608	0.0096112
14450	0.019917	0.019741	0.010269	0.021403	0.011645	0.01043	0.010214	0.010593	0.0095342
14500	0.02123	0.021526	0.010253	0.022731	0.011625	0.010398	0.010204	0.01059	0.0095409
14550	0.021128	0.021287	0.010215	0.019913	0.011554	0.010343	0.010188	0.01056	0.0095293
14600	0.017854	0.019976	0.010197	0.023697	0.011516	0.010359	0.010076	0.010554	0.0094627
14650	0.020323	0.019989	0.010167	0.021451	0.011348	0.010309	0.010078	0.010483	0.0094304
14700	0.019636	0.021199	0.010139	0.023544	0.011456	0.010219	0.010068	0.010457	0.0093835
14750	0.020299	0.017065	0.010089	0.021149	0.011233	0.010263	0.010044	0.010419	0.0094022
14800	0.019783	0.018411	0.010088	0.019278	0.011299	0.010203	0.0099929	0.010429	0.0093181
14850	0.019841	0.019379	0.010075	0.020052	0.011343	0.010208	0.010003	0.010321	0.0093295
14900	0.019179	0.020843	0.010041	0.020953	0.011252	0.010108	0.0099677	0.010339	0.0093086
14950	0.020123	0.019126	0.010016	0.02076	0.011215	0.010158	0.009918	0.01029	0.009257
15000	0.018934	0.018472	0.0099703	0.020402	0.0112	0.010073	0.009907	0.010263	0.0092724
