epochs	4-2-3	4-3-3	4-4-3	4-5-3	4-6-3	4-7-3	4-8-3	4-9-3	4-10-3
3250	0.072753	0.080476	0.061772	0.074552	0.081249	0.053073	0.065219	0.075931	0.077306
3300	0.075737	0.068187	0.064097	0.073535	0.064048	0.050031	0.07946	0.075965	0.070111
3350	0.075796	0.077937	0.050218	0.067757	0.072761	0.055762	0.055634	0.052009	0.053342
3400	0.079414	0.065387	0.064926	0.066415	0.080823	0.050906	0.06945	0.072222	0.057994
3450	0.067053	0.085473	0.06714	0.070485	0.062114	0.049148	0.073734	0.077593	0.05116
3500	0.055783	0.06062	0.059786	0.07197	0.071363	0.043953	0.069096	0.06792	0.070697
3550	0.076799	0.084854	0.058904	0.070516	0.075788	0.049391	0.077791	0.078142	0.072999
3600	0.084789	0.070611	0.059671	0.078168	0.06767	0.045861	0.068323	0.075198	0.069511
3650	0.061277	0.074579	0.045298	0.069501	0.080914	0.047021	0.066005	0.062735	0.061943
3700	0.080042	0.082001	0.050962	0.053888	0.07302	0.043135	0.069839	0.079128	0.055155
3750	0.057009	0.080205	0.05552	0.075717	0.082801	0.043479	0.066636	0.077785	0.074833
3800	0.074529	0.061902	0.061268	0.077628	0.072061	0.043945	0.068777	0.066557	0.068408
3850	0.069534	0.076732	0.048517	0.071551	0.061377	0.040934	0.060071	0.074633	0.069046
3900	0.065037	0.076659	0.051525	0.079996	0.078305	0.041159	0.066064	0.075218	0.053127
3950	0.077647	0.072562	0.054168	0.066117	0.075791	0.039877	0.050058	0.074992	0.068418
4000	0.081291	0.078125	0.04951	0.065034	0.066151	0.035976	0.051157	0.063544	0.071964
4050	0.073317	0.082584	0.048274	0.076459	0.070338	0.037622	0.063137	0.047985	0.068479
4100	0.078339	0.051801	0.048199	0.079597	0.055913	0.036036	0.063666	0.077457	0.062073
4150	0.076762	0.073455	0.048541	0.063673	0.070558	0.036518	0.061427	0.073839	0.06174
4200	0.075378	0.072482	0.04877	0.08082	0.053715	0.036715	0.057776	0.070223	0.063295
4250	0.072779	0.071151	0.042121	0.056503	0.074437	0.03608	0.056128	0.063568	0.062835
4300	0.078331	0.080625	0.041897	0.073131	0.063292	0.035348	0.058439	0.06073	0.061422
4350	0.062504	0.07519	0.041148	0.057617	0.07026	0.035952	0.055857	0.060658	0.063467
4400	0.071878	0.06453	0.044059	0.06824	0.064052	0.034204	0.04913	0.071093	0.051245
4450	0.055491	0.066852	0.039968	0.073944	0.059455	0.033632	0.06335	0.069034	0.048291
4500	0.085615	0.05871	0.034311	0.071584	0.068476	0.032521	0.044356	0.069212	0.056177
4550	0.066461	0.071549	0.038314	0.069839	0.07549	0.032512	0.052317	0.05887	0.062621
4600	0.053139	0.046964	0.035197	0.071589	0.073634	0.030329	0.057777	0.062052	0.048786
4650	0.063265	0.068879	0.037219	0.071217	0.070033	0.029273	0.042637	0.067179	0.044659
4700	0.067323	0.065499	0.036429	0.071433	0.064354	0.031394	0.055173	0.06278	0.049125
4750	0.067454	0.071368	0.035136	0.063788	0.066918	0.030564	0.052446	0.049094	0.045811
4800	0.065847	0.079099	0.033139	0.062796	0.075044	0.029936	0.054359	0.058733	0.036153
4850	0.065964	0.067103	0.033676	0.065916	0.077448	0.02885	0.039243	0.049992	0.045786
4900	0.082131	0.071856	0.033414	0.069511	0.061948	0.028783	0.041176	0.053371	0.040269
4950	0.073958	0.077076	0.031462	0.07169	0.071087	0.029791	0.041333	0.045204	0.041835
5000	0.072489	0.059395	0.031001	0.057935	0.05589	0.027514	0.054448	0.061807	0.039703
5050	0.073348	0.050808	0.03117	0.071709	0.06265	0.027984	0.044129	0.065779	0.041811
5100	0.067161	0.066863	0.032627	0.074643	0.048552	0.028446	0.041204	0.057817	0.038933
5150	0.064749	0.062199	0.029269	0.070512	0.063112	0.028355	0.045337	0.052968	0.041497
5200	0.050137	0.047542	0.030459	0.068341	0.076958	0.027956	0.040652	0.061511	0.044395
5250	0.076515	0.059427	0.028663	0.060937	0.061334	0.02555	0.042984	0.046487	0.038374
5300	0.068414	0.076532	0.029332	0.07369	0.060316	0.025645	0.038596	0.051471	0.031956
5350	0.071052	0.063949	0.028103	0.072279	0.048701	0.026025	0.040776	0.058109	0.034439
5400	0.057163	0.043434	0.027082	0.073787	0.055323	0.026185	0.037706	0.059401	0.035394
