Epoch	Train	Verify	Train	Verify	Train	Verify	Train	Verify	Train	Verify	Train	Verify	Train	Verify
8600	0.066177	0.065041	0.016615	0.07403	0.060822	0.030062	0.068094	0.055159	0.014193	0.10993	0.014289	0.11433	0.016246	0.1088
8800	0.036317	0.083103	0.016089	0.073909	0.066893	0.055966	0.052257	0.061313	0.013881	0.11286	0.013857	0.11672	0.015784	0.10211
9000	0.058964	0.058577	0.01555	0.079867	0.04711	0.02719	0.046292	0.074342	0.013585	0.11264	0.01374	0.11594	0.015244	0.10138
9200	0.06337	0.034735	0.015428	0.070158	0.054068	0.021891	0.038603	0.013585	0.013419	0.112	0.01343	0.11462	0.014721	0.10733
9400	0.061101	0.057433	0.015261	0.069343	0.046025	0.073731	0.046876	0.068086	0.013009	0.11542	0.013076	0.11813	0.014225	0.10825
9600	0.049122	0.078619	0.014669	0.075995	0.039144	0.083935	0.038907	0.012118	0.012816	0.10975	0.012901	0.11639	0.0136	0.11165
9800	0.041138	0.065252	0.014677	0.071572	0.043969	0.021295	0.061127	0.013718	0.012675	0.11212	0.012619	0.11278	0.01335	0.10323
10000	0.050249	0.013833	0.014335	0.075385	0.043652	0.070907	0.039572	0.014202	0.012461	0.11319	0.012398	0.11388	0.012907	0.11153
10200	0.043892	0.045778	0.014265	0.06954	0.044332	0.019276	0.043441	0.04396	0.012177	0.10948	0.012263	0.11527	0.012698	0.11279
10400	0.040341	0.066258	0.013859	0.073224	0.047724	0.017971	0.025745	0.058383	0.012096	0.11321	0.012059	0.11465	0.012401	0.10888
10600	0.039215	0.014042	0.013851	0.073253	0.045279	0.072037	0.042926	0.041586	0.011838	0.1163	0.011814	0.1141	0.012112	0.11291
10800	0.030428	0.064494	0.013606	0.070147	0.046288	0.055459	0.047697	0.013578	0.011662	0.11039	0.011649	0.11611	0.011918	0.11454
11000	0.034532	0.077155	0.013428	0.072214	0.045586	0.011674	0.04578	0.02085	0.011526	0.11188	0.011493	0.11794	0.011626	0.11179
11200	0.036176	0.016813	0.013248	0.06849	0.030276	0.017029	0.040247	0.04292	0.01139	0.11459	0.011358	0.11896	0.011415	0.113
11400	0.027754	0.055111	0.013157	0.07381	0.036975	0.061467	0.031793	0.01821	0.011206	0.11422	0.011106	0.11872	0.01111	0.11741
11600	0.037062	0.057866	0.012889	0.068579	0.046383	0.020207	0.035413	0.046383	0.01105	0.11564	0.011034	0.11808	0.010941	0.11507
11800	0.025871	0.053162	0.012731	0.071413	0.040691	0.022263	0.02774	0.015442	0.010921	0.11426	0.010844	0.11704	0.010665	0.11715
12000	0.043215	0.019926	0.012592	0.069307	0.02886	0.059739	0.03742	0.020994	0.010771	0.11489	0.01073	0.11983	0.010525	0.11647
12200	0.030029	0.015117	0.012391	0.071622	0.040478	0.020217	0.021912	0.04911	0.010567	0.11813	0.010585	0.12103	0.010306	0.11486
12400	0.025964	0.016535	0.01223	0.072046	0.032794	0.019606	0.025808	0.034508	0.010472	0.11718	0.010454	0.1195	0.010161	0.11452
12600	0.032501	0.049964	0.012085	0.07001	0.033921	0.014788	0.022998	0.044145	0.010328	0.11859	0.010324	0.11955	0.0099857	0.1164
12800	0.032015	0.043154	0.011904	0.073496	0.030599	0.015112	0.023103	0.040317	0.010272	0.11662	0.010211	0.11889	0.0098086	0.11566
13000	0.037842	0.02061	0.011802	0.070832	0.032162	0.018898	0.0252	0.032739	0.010132	0.11679	0.010106	0.12115	0.0096075	0.11861
13200	0.024085	0.047077	0.011727	0.069681	0.030513	0.040484	0.025828	0.032036	0.01003	0.11538	0.0099505	0.12012	0.0095189	0.11813
13400	0.023717	0.048308	0.011578	0.070692	0.027176	0.015127	0.023755	0.032061	0.0098982	0.11762	0.0098245	0.12101	0.0093334	0.11922
13600	0.02894	0.016618	0.011321	0.072371	0.029291	0.045783	0.026177	0.032319	0.0097973	0.11594	0.0097378	0.12101	0.009228	0.1189
13800	0.030959	0.021918	0.0113	0.073115	0.023668	0.045835	0.023718	0.031049	0.0097027	0.11693	0.0096114	0.1223	0.0090971	0.11962
14000	0.028654	0.035497	0.011219	0.069549	0.029279	0.040344	0.020777	0.041086	0.0096047	0.11666	0.0095389	0.12205	0.0089662	0.11889
14200	0.022178	0.043816	0.011109	0.069352	0.027635	0.021231	0.021928	0.036209	0.0094986	0.11667	0.0094296	0.12153	0.0088363	0.11952
14400	0.026266	0.033534	0.010971	0.070212	0.02884	0.039608	0.019559	0.037272	0.0094075	0.1191	0.0093332	0.12162	0.00875	0.1209
14600	0.025012	0.039346	0.010835	0.07213	0.029381	0.021597	0.019751	0.016065	0.0092763	0.11751	0.0092408	0.12237	0.0085859	0.12145
14800	0.024607	0.0368	0.010811	0.070781	0.028261	0.036344	0.020618	0.027999	0.009213	0.11871	0.0091519	0.12274	0.0084987	0.11977
15000	0.025297	0.019319	0.010681	0.069596	0.024404	0.016459	0.01733	0.037377	0.0091156	0.1162	0.0090554	0.12269	0.0083875	0.12201
15200	0.02155	0.016552	0.010519	0.070996	0.02856	0.030147	0.016771	0.035243	0.0090414	0.11945	0.0089751	0.12239	0.008263	0.12184
15400	0.023379	0.018762	0.010472	0.070878	0.023091	0.034649	0.018743	0.030355	0.0089801	0.11941	0.008879	0.12406	0.0081598	0.12159
15600	0.020164	0.039046	0.010299	0.071666	0.023248	0.016796	0.019266	0.026047	0.0088607	0.11891	0.0087994	0.12238	0.0080697	0.12176
15800	0.023043	0.030146	0.010314	0.070533	0.023893	0.019486	0.016547	0.016227	0.0087923	0.1212	0.0087048	0.12409	0.0079949	0.12235
16000	0.021251	0.017084	0.010207	0.069074	0.020342	0.0408	0.018763	0.021843	0.0087024	0.1192	0.0086368	0.12345	0.0078955	0.12191
16200	0.019379	0.03638	0.010054	0.071955	0.021456	0.035544	0.015637	0.016118	0.0086429	0.12009	0.0085748	0.12385	0.0078192	0.12248
16400	0.022345	0.030251	0.010029	0.069251	0.01979	0.014569	0.016962	0.028417	0.0085669	0.1203	0.0084877	0.12391	0.0077325	0.12274
16600	0.022164	0.026016	0.0099365	0.069873	0.020694	0.027085	0.015601	0.0315	0.0084885	0.12114	0.0084175	0.12452	0.0076574	0.1236
16800	0.02024	0.034586	0.0098478	0.068112	0.021744	0.027362	0.015192	0.016862	0.0083971	0.12152	0.0083385	0.12473	0.0075599	0.12236
17000	0.021554	0.027201	0.009774	0.069066	0.022051	0.016871	0.017219	0.021185	0.008355	0.1202	0.0082744	0.12472	0.0074835	0.12358
17200	0.018958	0.015761	0.0096879	0.069695	0.020328	0.019808	0.015757	0.023842	0.0082667	0.12126	0.0082096	0.12402	0.0074125	0.123
17400	0.021384	0.017827	0.0096267	0.068901	0.020352	0.020168	0.016371	0.019743	0.00822	0.12061	0.0081461	0.12477	0.0073333	0.12441
17600	0.017939	0.01615	0.0095507	0.070839	0.01795	0.031138	0.015219	0.026154	0.0081397	0.12189	0.008063	0.12537	0.0072682	0.12419
17800	0.021052	0.029396	0.0094775	0.068192	0.019625	0.01663	0.014096	0.016667	0.00807	0.12198	0.0080267	0.12499	0.0071992	0.12439
18000	0.019156	0.024688	0.0094009	0.069377	0.019441	0.017129	0.013891	0.016662	0.0080301	0.12154	0.0079372	0.12554	0.0071212	0.12423
18200	0.020031	0.024587	0.0093387	0.069457	0.018984	0.026806	0.015468	0.021428	0.007957	0.12133	0.0078926	0.12561	0.0070615	0.12557
18400	0.019644	0.020503	0.0092688	0.069686	0.017524	0.014312	0.013797	0.028178	0.0078965	0.12298	0.0078273	0.12589	0.0070007	0.12493
18600	0.017661	0.017264	0.0092033	0.071022	0.018956	0.018644	0.015045	0.021105	0.0078525	0.1223	0.0077651	0.12666	0.0069363	0.12475
18800	0.019121	0.019326	0.0091325	0.069073	0.01863	0.014599	0.014328	0.024626	0.0077939	0.12179	0.0077153	0.12589	0.0068634	0.12469
19000	0.019464	0.02688	0.0090755	0.07045	0.016912	0.030263	0.014376	0.025092	0.0077316	0.12173	0.0076516	0.12661	0.006815	0.12549
19200	0.018334	0.023402	0.009019	0.070545	0.018132	0.014577	0.01432	0.022935	0.0076718	0.12241	0.0076002	0.12684	0.0067447	0.12576
19400	0.018601	0.020487	0.0089297	0.069537	0.017847	0.024703	0.013432	0.024738	0.0076202	0.12243	0.0075503	0.1261	0.006695	0.12598
19600	0.017169	0.029049	0.0088607	0.070026	0.016011	0.027832	0.013189	0.016372	0.0075803	0.12285	0.0074986	0.12673	0.0066419	0.12643
19800	0.017691	0.022339	0.0088209	0.070597	0.015943	0.014737	0.013329	0.026207	0.0075128	0.12366	0.0074472	0.12697	0.0065882	0.12604
20000	0.016239	0.028629	0.0087501	0.069558	0.01667	0.014496	0.013395	0.020719	0.0074766	0.12308	0.0073957	0.12719	0.0065361	0.12665
