#Epoch	Train	Train
10150	0.037735	0.035382
10200	0.041456	0.038708
10250	0.039713	0.030606
10300	0.034972	0.043754
10350	0.04998	0.037617
10400	0.034838	0.039782
10450	0.033807	0.028253
10500	0.047213	0.041958
10550	0.041053	0.03644
10600	0.037093	0.042573
10650	0.042216	0.037248
10700	0.039159	0.047687
10750	0.038172	0.03432
10800	0.034728	0.028518
10850	0.042845	0.033579
10900	0.033701	0.027808
10950	0.035381	0.033233
11000	0.032731	0.03138
11050	0.02505	0.031281
11100	0.029166	0.028726
11150	0.043148	0.032185
11200	0.042794	0.037897
11250	0.031339	0.025874
11300	0.045134	0.028585
11350	0.037544	0.030813
11400	0.028882	0.036714
11450	0.033887	0.037292
11500	0.028412	0.031918
11550	0.034075	0.023977
11600	0.030246	0.02385
11650	0.027987	0.027656
11700	0.029994	0.029391
11750	0.026028	0.0253
11800	0.035907	0.030484
11850	0.032685	0.027949
11900	0.026962	0.023919
11950	0.029692	0.026408
12000	0.036349	0.029926
12050	0.02896	0.022389
12100	0.029581	0.023805
12150	0.035365	0.028588
12200	0.032982	0.031575
12250	0.027394	0.027451
12300	0.027208	0.024545
12350	0.025664	0.028946
12400	0.031434	0.026568
12450	0.02285	0.025721
12500	0.030235	0.026497
12550	0.027235	0.025492
12600	0.029299	0.026896
12650	0.026109	0.023681
12700	0.024219	0.024801
12750	0.021959	0.027847
12800	0.024559	0.027349
12850	0.025598	0.023875
12900	0.024297	0.022369
12950	0.023405	0.024947
13000	0.025032	0.023146
13050	0.025996	0.024189
13100	0.027155	0.024488
13150	0.022691	0.022474
13200	0.024217	0.020043
13250	0.021576	0.021305
13300	0.020337	0.020649
13350	0.026691	0.021966
13400	0.024272	0.021505
13450	0.021302	0.022039
13500	0.023658	0.022558
13550	0.024034	0.021027
13600	0.024399	0.021992
13650	0.026074	0.021697
13700	0.023964	0.022965
13750	0.024372	0.020799
13800	0.024122	0.021414
13850	0.019149	0.020857
13900	0.02429	0.021155
13950	0.02191	0.020392
14000	0.0254	0.020921
14050	0.021247	0.019975
14100	0.022914	0.020321
14150	0.023339	0.018995
14200	0.022289	0.020831
14250	0.023682	0.019342
14300	0.020049	0.019417
14350	0.023633	0.018017
14400	0.022873	0.020875
14450	0.021403	0.020525
14500	0.022731	0.018281
14550	0.019913	0.018514
14600	0.023697	0.018131
14650	0.021451	0.019456
14700	0.023544	0.018896
14750	0.021149	0.019465
14800	0.019278	0.019791
14850	0.020052	0.019479
14900	0.020953	0.017488
14950	0.02076	0.018756
15000	0.020402	0.018198
