Epoch	Train
0000	0.48995
0050	0.25771
0100	0.16184
0150	0.13153
0200	0.11856
0250	0.11078
0300	0.10594
0350	0.10077
0400	0.093835
0450	0.095661
0500	0.09964
0550	0.0961
0600	0.095264
0650	0.087005
0700	0.082282
0750	0.090469
0800	0.088338
0850	0.091928
0900	0.092215
0950	0.09184
1000	0.095898
1050	0.083532
1100	0.089355
1150	0.086969
1200	0.090413
1250	0.088439
1300	0.08864
1350	0.082727
1400	0.087404
1450	0.073522
1500	0.080999
1550	0.082304
1600	0.081839
1650	0.080315
1700	0.080465
1750	0.083378
1800	0.066996
1850	0.081047
1900	0.082462
1950	0.084047
2000	0.072864
2050	0.078361
2100	0.081315
2150	0.082934
2200	0.081367
2250	0.07815
2300	0.069991
2350	0.08297
2400	0.06608
2450	0.070255
2500	0.070748
2550	0.071406
2600	0.076426
2650	0.061869
2700	0.073275
2750	0.071811
2800	0.075765
2850	0.075631
2900	0.068
2950	0.067278
3000	0.067305
3050	0.07009
3100	0.072875
3150	0.070408
3200	0.068108
3250	0.061772
3300	0.064097
3350	0.050218
3400	0.064926
3450	0.06714
3500	0.059786
3550	0.058904
3600	0.059671
3650	0.045298
3700	0.050962
3750	0.05552
3800	0.061268
3850	0.048517
3900	0.051525
3950	0.054168
4000	0.04951
4050	0.048274
4100	0.048199
4150	0.048541
4200	0.04877
4250	0.042121
4300	0.041897
4350	0.041148
4400	0.044059
4450	0.039968
4500	0.034311
4550	0.038314
4600	0.035197
4650	0.037219
4700	0.036429
4750	0.035136
4800	0.033139
4850	0.033676
4900	0.033414
4950	0.031462
5000	0.031001
5050	0.03117
5100	0.032627
5150	0.029269
5200	0.030459
5250	0.028663
5300	0.029332
5350	0.028103
5400	0.027082
5450	0.026009
5500	0.026733
5550	0.024909
5600	0.026014
5650	0.026424
5700	0.025906
5750	0.024894
5800	0.024935
5850	0.024069
5900	0.023604
5950	0.0242
6000	0.024049
6050	0.022454
6100	0.023446
6150	0.022643
6200	0.022239
6250	0.022551
6300	0.021691
6350	0.021799
6400	0.021649
6450	0.021427
6500	0.02149
6550	0.02056
6600	0.021471
6650	0.020809
6700	0.020933
6750	0.020556
6800	0.020228
6850	0.020211
6900	0.019945
6950	0.01985
7000	0.019749
7050	0.0194
7100	0.019387
7150	0.019153
7200	0.019209
7250	0.01865
7300	0.018954
7350	0.01835
7400	0.018544
7450	0.018401
7500	0.01826
7550	0.018052
7600	0.017651
7650	0.017633
7700	0.017732
7750	0.01744
7800	0.017446
7850	0.017272
7900	0.017059
7950	0.017159
8000	0.016738
8050	0.016988
8100	0.016751
8150	0.016443
8200	0.016539
8250	0.016372
8300	0.016442
8350	0.01632
8400	0.016266
8450	0.016
8500	0.016077
8550	0.015919
8600	0.015796
8650	0.015786
8700	0.015534
8750	0.015496
8800	0.015484
8850	0.015296
8900	0.015269
8950	0.015243
9000	0.015183
9050	0.01511
9100	0.014872
9150	0.014974
9200	0.014829
9250	0.014839
9300	0.014571
9350	0.014593
9400	0.014573
9450	0.014482
9500	0.014427
9550	0.014399
9600	0.014227
9650	0.01419
9700	0.014225
9750	0.014121
9800	0.014083
9850	0.013981
9900	0.01392
9950	0.013837
10000	0.013784
10050	0.013718
10100	0.013625
10150	0.013586
10200	0.013519
10250	0.013489
10300	0.013358
10350	0.013391
10400	0.013314
10450	0.013304
10500	0.013194
10550	0.013132
10600	0.013056
10650	0.013045
10700	0.012986
10750	0.012989
10800	0.012893
10850	0.012855
10900	0.012729
10950	0.012689
11000	0.012688
11050	0.012667
11100	0.01264
11150	0.012596
11200	0.012447
11250	0.012522
11300	0.01242
11350	0.01239
11400	0.012337
11450	0.012302
11500	0.012255
11550	0.012228
11600	0.012149
11650	0.012138
11700	0.011993
11750	0.01205
11800	0.011978
11850	0.011974
11900	0.011909
11950	0.011863
12000	0.011833
12050	0.011795
12100	0.01174
12150	0.011724
12200	0.011681
12250	0.011622
12300	0.011617
12350	0.011568
12400	0.011488
12450	0.011518
12500	0.011479
12550	0.011408
12600	0.011417
12650	0.011377
12700	0.01128
12750	0.011276
12800	0.011252
12850	0.011211
12900	0.011192
12950	0.011163
13000	0.011115
13050	0.011077
13100	0.011048
13150	0.011033
13200	0.010999
13250	0.010917
13300	0.010885
13350	0.010893
13400	0.010865
13450	0.010839
13500	0.01078
13550	0.010783
13600	0.01075
13650	0.010724
13700	0.010694
13750	0.010656
13800	0.010634
13850	0.010591
13900	0.010572
13950	0.010553
14000	0.010476
14050	0.010498
14100	0.010473
14150	0.010434
14200	0.010407
14250	0.01039
14300	0.010356
14350	0.010311
14400	0.010302
14450	0.010269
14500	0.010253
14550	0.010215
14600	0.010197
14650	0.010167
14700	0.010139
14750	0.010089
14800	0.010088
14850	0.010075
14900	0.010041
14950	0.010016
15000	0.0099703
