Epoch	Train	Verify
0000	0.66283	0.64753
0001	0.66283	0.61385
0002	0.58243	0.61385
0003	0.58243	0.61385
0004	0.58243	0.61385
0005	0.58243	0.61385
0006	0.58243	0.61385
0007	0.58243	0.61385
0008	0.58243	0.61385
0009	0.58243	0.61385
0010	0.58243	0.61385
0011	0.58243	0.61385
0012	0.58243	0.61385
0013	0.58243	0.61385
0014	0.58243	0.61385
0015	0.58243	0.61385
0016	0.58243	0.61385
0017	0.58243	0.61385
0018	0.58243	0.61385
0019	0.58243	0.61385
0020	0.58243	0.61385
0021	0.58243	0.61385
0022	0.58243	0.61385
0023	0.58243	0.61385
0024	0.58243	0.61385
0025	0.58243	0.61385
0026	0.58243	0.61385
0027	0.58243	0.61385
0028	0.58243	0.61385
0029	0.58243	0.61385
0030	0.58243	0.61385
0031	0.58243	0.61385
0032	0.58243	0.61385
0033	0.58243	0.61385
0034	0.58243	0.61385
0035	0.58243	0.61385
0036	0.58243	0.61385
0037	0.58243	0.61385
0038	0.58243	0.61385
0039	0.58243	0.61385
0040	0.58243	0.61385
0041	0.58243	0.61385
0042	0.58243	0.61385
0043	0.58243	0.61385
0044	0.58243	0.61385
0045	0.58243	0.61385
0046	0.58243	0.61385
0047	0.58243	0.61385
0048	0.58243	0.61385
0049	0.58243	0.61385
0050	0.58243	0.61385
0051	0.58243	0.61385
0052	0.58243	0.61385
0053	0.58243	0.61385
0054	0.58243	0.61385
0055	0.58243	0.61385
0056	0.58243	0.61385
0057	0.58243	0.61385
0058	0.58243	0.61385
0059	0.58243	0.61385
0060	0.58243	0.61385
0061	0.58243	0.61385
0062	0.58243	0.61385
0063	0.58243	0.61385
0064	0.58243	0.61385
0065	0.58243	0.61385
0066	0.58243	0.61385
0067	0.58243	0.61385
0068	0.58243	0.61385
0069	0.58243	0.61385
0070	0.58243	0.61385
0071	0.58243	0.61385
0072	0.58243	0.61385
0073	0.58243	0.61385
0074	0.58243	0.61385
0075	0.58243	0.61385
0076	0.58243	0.61385
0077	0.58243	0.61385
0078	0.58243	0.61385
0079	0.58243	0.61385
0080	0.58243	0.61385
0081	0.58243	0.61385
0082	0.58243	0.61385
0083	0.58243	0.61385
0084	0.58243	0.61385
0085	0.58243	0.61385
0086	0.58243	0.61385
0087	0.58243	0.61385
0088	0.58243	0.61385
0089	0.58243	0.61385
0090	0.58243	0.61385
0091	0.58243	0.61385
0092	0.58243	0.61385
0093	0.58243	0.61385
0094	0.58243	0.61385
0095	0.58243	0.61385
0096	0.58243	0.61385
0097	0.58243	0.61385
0098	0.58243	0.61385
0099	0.58243	0.61385
0100	0.58243	0.61385
