Proportion	Poprawne	Błędne	Niezaklasyfikowane
0.962962963	0.8	0	0.2
0.888888889	0.866666667	0	0.133333333
0.777777778	0.866666667	0.133333333	0
0.666666667	0.933333333	0.066666667	0
0.555555556	1	0	0
0.444444444	1	0	0
0.333333333	0.866666667	0.133333333	0
0.222222222	0.866666667	0.133333333	0
0.111111111	1	0	0
0.037037037	1	0	0
