Epoch	Train	Verify
0000	0.56846	0.56118
0001	0.56846	0.55647
0002	0.55266	0.54392
0003	0.53349	0.53547
0004	0.51209	0.53722
0005	0.50443	0.51642
0006	0.49337	0.50209
0007	0.4811	0.48814
0008	0.47373	0.47768
0009	0.46166	0.45946
0010	0.44852	0.44666
0011	0.42199	0.39785
0012	0.3832	0.54513
0013	0.50437	0.52817
0014	0.57297	0.49217
0015	0.49603	0.46163
0016	0.46239	0.44678
0017	0.42011	0.40565
0018	0.3806	0.3984
0019	0.3649	0.38805
0020	0.37462	0.38506
0021	0.35087	0.36177
0022	0.32914	0.35353
0023	0.31982	0.35072
0024	0.31706	0.349
0025	0.31535	0.34722
0026	0.31366	0.34504
0027	0.3117	0.34193
0028	0.30905	0.3371
0029	0.30513	0.32985
0030	0.2995	0.32063
0031	0.29217	0.30912
0032	0.28474	0.34959
0033	0.3153	0.43799
0034	0.3936	0.4269
0035	0.38435	0.36648
0036	0.34367	0.40343
0037	0.36561	0.35435
0038	0.3196	0.32652
0039	0.2947	0.31691
0040	0.28613	0.30268
0041	0.27519	0.28481
0042	0.26228	0.26674
0043	0.24722	0.24601
0044	0.2348	0.27828
0045	0.2504	0.44891
0046	0.41361	0.31662
0047	0.28512	0.28315
0048	0.28603	0.34864
0049	0.31081	0.22671
0050	0.21625	0.2201
0051	0.20895	0.21058
0052	0.20459	0.22364
0053	0.20575	0.23331
0054	0.24783	0.38083
0055	0.34032	0.23405
0056	0.21226	0.20237
0057	0.20739	0.23644
0058	0.21231	0.18437
0059	0.18646	0.18959
0060	0.17813	0.17586
0061	0.17434	0.18283
0062	0.1713	0.16759
0063	0.17159	0.19675
0064	0.17888	0.16733
0065	0.17621	0.19467
0066	0.17644	0.15478
0067	0.15792	0.16122
0068	0.152	0.14883
0069	0.14964	0.15713
0070	0.14801	0.14554
0071	0.14524	0.15201
0072	0.14348	0.14266
0073	0.14105	0.14763
0074	0.13943	0.14019
0075	0.1374	0.14518
0076	0.13649	0.13841
0077	0.1351	0.14392
0078	0.13454	0.13682
0079	0.1321	0.13867
0080	0.1299	0.13472
0081	0.12778	0.1356
0082	0.1267	0.13362
0083	0.12608	0.1367
0084	0.12671	0.13585
0085	0.12787	0.13912
0086	0.12875	0.13254
0087	0.12317	0.13134
0088	0.12072	0.13033
0089	0.11938	0.12987
0090	0.11867	0.13002
0091	0.11835	0.13071
0092	0.11939	0.13269
0093	0.12	0.13138
0094	0.12004	0.12925
0095	0.11573	0.12726
0096	0.11413	0.12769
0097	0.11351	0.12673
0098	0.11317	0.1287
0099	0.11356	0.12887
0100	0.11652	0.13179
0101	0.11622	0.12733
0102	0.11428	0.12631
0103	0.11025	0.12518
0104	0.1095	0.1254
0105	0.10907	0.12468
0106	0.10866	0.12613
0107	0.10864	0.12531
0108	0.11082	0.13357
0109	0.11506	0.13145
0110	0.12049	0.12939
0111	0.10991	0.12337
0112	0.10665	0.12395
0113	0.10514	0.12347
0114	0.10478	0.12396
0115	0.1044	0.1228
0116	0.10421	0.12674
0117	0.10534	0.1249
0118	0.11083	0.13473
0119	0.11298	0.1269
0120	0.11445	0.12513
0121	0.10292	0.12229
0122	0.10173	0.12324
0123	0.10144	0.12202
0124	0.10119	0.12396
0125	0.10116	0.12139
0126	0.1021	0.12736
0127	0.10303	0.12164
0128	0.10376	0.12471
0129	0.10037	0.12141
0130	0.099312	0.12296
0131	0.09883	0.12163
0132	0.098531	0.1231
0133	0.098318	0.12093
0134	0.098384	0.12656
0135	0.099813	0.12162
0136	0.10453	0.13037
0137	0.1029	0.12064
0138	0.10149	0.12308
0139	0.096578	0.12146
0140	0.096097	0.12217
0141	0.095863	0.12109
0142	0.095652	0.12326
0143	0.095668	0.12003
0144	0.096246	0.12561
0145	0.096505	0.1198
0146	0.096401	0.12327
0147	0.094599	0.121
0148	0.094036	0.12242
0149	0.093819	0.12059
0150	0.093722	0.1244
0151	0.09418	0.11942
0152	0.096075	0.12703
0153	0.095752	0.1194
0154	0.094787	0.12259
0155	0.092471	0.12091
0156	0.092119	0.12215
0157	0.091928	0.12063
0158	0.091734	0.12308
0159	0.091745	0.11954
0160	0.092131	0.12466
0161	0.092065	0.11954
0162	0.091685	0.12251
0163	0.09064	0.12061
