Epoch	Train	Verify
0000	0.47636	0.48125
0001	0.47636	0.48812
0002	0.47441	0.4924
0003	0.45739	0.48592
0004	0.49094	0.55969
0005	0.50557	0.43921
0006	0.42259	0.37394
0007	0.35203	0.36199
0008	0.3338	0.35578
0009	0.32618	0.35252
0010	0.32233	0.34797
0011	0.31769	0.34733
0012	0.31666	0.34213
0013	0.3124	0.3433
0014	0.31293	0.33797
0015	0.30912	0.33686
0016	0.30746	0.32874
0017	0.3011	0.32658
0018	0.29869	0.32233
0019	0.2963	0.32227
0020	0.29495	0.31775
0021	0.29367	0.32515
0022	0.2966	0.31633
0023	0.2956	0.33662
0024	0.3057	0.30659
0025	0.28288	0.30497
0026	0.28058	0.30037
0027	0.27837	0.30256
0028	0.27725	0.29743
0029	0.28048	0.33808
0030	0.30492	0.29328
0031	0.27506	0.30115
0032	0.2739	0.28383
0033	0.26943	0.29748
0034	0.27017	0.27697
0035	0.2586	0.2768
0036	0.2553	0.26838
0037	0.25208	0.27513
0038	0.25159	0.26684
0039	0.25965	0.31556
0040	0.28405	0.25256
0041	0.23821	0.25065
0042	0.23148	0.23868
0043	0.22859	0.25953
0044	0.23465	0.25844
0045	0.26047	0.33472
0046	0.29916	0.22749
0047	0.2135	0.21479
0048	0.20261	0.21462
0049	0.19894	0.21107
0050	0.21045	0.35092
0051	0.31261	0.22333
0052	0.22497	0.29209
0053	0.25921	0.19615
0054	0.19157	0.20544
0055	0.18644	0.19004
0056	0.1874	0.2088
0057	0.18767	0.18121
0058	0.17584	0.18503
0059	0.17012	0.17433
0060	0.16739	0.182
0061	0.16631	0.17288
0062	0.17192	0.2063
0063	0.18387	0.17245
0064	0.17319	0.18269
0065	0.16484	0.16073
0066	0.15315	0.16235
0067	0.15057	0.15732
0068	0.14937	0.16388
0069	0.14985	0.16393
0070	0.16366	0.22589
0071	0.19979	0.18171
0072	0.18714	0.19652
0073	0.17508	0.14999
0074	0.14191	0.1504
0075	0.13939	0.14811
0076	0.13848	0.15001
0077	0.13799	0.14861
0078	0.14254	0.19931
0079	0.17803	0.21658
0080	0.22939	0.31952
0081	0.27859	0.14445
0082	0.13545	0.14518
0083	0.13241	0.14244
0084	0.13258	0.14714
0085	0.13341	0.14891
0086	0.14263	0.17748
0087	0.15904	0.15351
0088	0.14864	0.15373
0089	0.13867	0.13919
0090	0.12782	0.13985
0091	0.12704	0.13836
0092	0.12691	0.14202
0093	0.12825	0.14417
0094	0.13527	0.16306
0095	0.14703	0.14462
0096	0.13551	0.14298
0097	0.12882	0.13525
0098	0.12221	0.135
0099	0.12142	0.13432
0100	0.12083	0.13452
0101	0.12046	0.13585
0102	0.12303	0.15407
0103	0.13966	0.16506
0104	0.16063	0.20672
0105	0.18573	0.13911
0106	0.12652	0.13326
0107	0.11839	0.13184
0108	0.11663	0.13089
0109	0.11554	0.13122
0110	0.11564	0.1324
0111	0.11731	0.1343
0112	0.11864	0.13308
0113	0.11821	0.1301
0114	0.11349	0.12858
0115	0.11216	0.12873
0116	0.1118	0.12817
0117	0.11165	0.12994
0118	0.11237	0.13042
0119	0.11514	0.13231
0120	0.11445	0.12852
0121	0.11253	0.12744
0122	0.10901	0.12634
0123	0.10831	0.1268
0124	0.10797	0.1258
0125	0.10767	0.12842
0126	0.1087	0.12921
0127	0.11396	0.13592
0128	0.11662	0.13174
0129	0.11773	0.12744
0130	0.10663	0.12428
0131	0.10466	0.12548
0132	0.10443	0.12384
0133	0.10427	0.12586
0134	0.10394	0.12348
0135	0.10382	0.12573
0136	0.10315	0.12308
0137	0.1029	0.12578
0138	0.10235	0.1228
0139	0.10224	0.12629
0140	0.10181	0.12264
0141	0.10146	0.12487
0142	0.10048	0.12288
0143	0.10001	0.12514
0144	0.10001	0.12223
0145	0.1005	0.12648
0146	0.1004	0.12203
0147	0.099677	0.12388
0148	0.098418	0.12244
0149	0.098058	0.12406
0150	0.097934	0.12165
0151	0.098072	0.12886
0152	0.10104	0.12626
0153	0.11154	0.13725
0154	0.11001	0.12562
0155	0.11045	0.12406
0156	0.096389	0.12193
0157	0.095701	0.12294
0158	0.095588	0.12109
0159	0.095668	0.12697
0160	0.097919	0.12474
0161	0.10938	0.14109
0162	0.1141	0.13272
0163	0.12249	0.124
0164	0.094929	0.12096
0165	0.094011	0.12313
0166	0.094178	0.12011
0167	0.09481	0.12943
0168	0.099355	0.12444
0169	0.10909	0.13038
0170	0.10021	0.12007
0171	0.097537	0.12222
0172	0.092894	0.12123
0173	0.092634	0.12143
0174	0.092483	0.12079
0175	0.092328	0.12299
0176	0.092612	0.11953
0177	0.095751	0.13327
0178	0.10245	0.12607
0179	0.11254	0.12596
0180	0.094241	0.11956
0181	0.092229	0.1213
0182	0.091085	0.12083
0183	0.090937	0.12116
0184	0.090777	0.12029
0185	0.090643	0.12316
0186	0.091222	0.11933
0187	0.096472	0.13691
0188	0.10619	0.13095
0189	0.1211	0.12384
0190	0.091121	0.11943
0191	0.090012	0.12343
0192	0.090452	0.11902
0193	0.09047	0.12199
0194	0.089427	0.12023
0195	0.089037	0.12132
0196	0.088964	0.1195
0197	0.089034	0.12251
0198	0.089119	0.11877
0199	0.089535	0.12266
0200	0.088902	0.11949
0201	0.088284	0.12069
0202	0.087909	0.1202
0203	0.087757	0.12103
0204	0.087621	0.11918
0205	0.087742	0.12633
0206	0.090775	0.12089
0207	0.10267	0.13577
0208	0.10146	0.12219
