#Błędy w zbiorze testowym
"Zbiór danych"	"Drzewo unpruned"	"Drzewo pruned"	"Reguły"
GOLF	7.2	6.7	2.9
VOTE	20.5	6.4	4.2
GERMAN	282.1	63.0	17.7
MONK1	38.2	23.7	9.1
